INFO:2022-12-05 01:01:04:flag punishment activated! All rewards will be rectified!
INFO:2022-12-05 01:01:41:epsilon is 0.3, episode is 0
INFO:2022-12-05 01:11:46:running reward: -21615.00 at episode 1, frame count 5700, epsilon 0.02344653876397055
INFO:2022-12-05 01:11:56:running reward: -21615.00 at episode 1, frame count 5800, epsilon 0.008494422498263801
INFO:2022-12-05 01:12:09:running reward: -21615.00 at episode 1, frame count 5900, epsilon 0.003077435620898062
INFO:2022-12-05 01:12:19:running reward: -21615.00 at episode 1, frame count 6000, epsilon 0.0011149209970080917
INFO:2022-12-05 01:12:21:running reward: -21615.00 at episode 1, frame count 6021, epsilon 0.0023875515424585823
INFO:2022-12-05 01:12:21:time per episode 366.7103 seconds
INFO:2022-12-05 01:12:21:epsilon is 0.0023875515424585823, episode is 2
INFO:2022-12-05 01:12:30:running reward: -23788.00 at episode 2, frame count 6100, epsilon 0.016917900122028363
INFO:2022-12-05 01:12:39:running reward: -23788.00 at episode 2, frame count 6200, epsilon 0.0061291686959257345
INFO:2022-12-05 01:12:50:running reward: -23788.00 at episode 2, frame count 6300, epsilon 0.0022205302450155335
INFO:2022-12-05 01:13:00:running reward: -23788.00 at episode 2, frame count 6400, epsilon 0.08341801332506335
INFO:2022-12-05 01:13:10:running reward: -23788.00 at episode 2, frame count 6500, epsilon 0.0302214265517838
INFO:2022-12-05 01:13:20:running reward: -23788.00 at episode 2, frame count 6600, epsilon 0.01094888965127687
INFO:2022-12-05 01:13:32:running reward: -23788.00 at episode 2, frame count 6700, epsilon 0.003966662010161204
INFO:2022-12-05 01:13:43:running reward: -23788.00 at episode 2, frame count 6800, epsilon 0.0014370779141993763
INFO:2022-12-05 01:13:54:running reward: -23788.00 at episode 2, frame count 6900, epsilon 0.05398628767382502
INFO:2022-12-05 01:14:06:running reward: -23788.00 at episode 2, frame count 7000, epsilon 0.019558636830395097
INFO:2022-12-05 01:14:17:running reward: -23788.00 at episode 2, frame count 7100, epsilon 0.0070858784914888725
INFO:2022-12-05 01:14:28:running reward: -23788.00 at episode 2, frame count 7200, epsilon 0.0025671356563109903
INFO:2022-12-05 01:14:38:running reward: -23788.00 at episode 2, frame count 7300, epsilon 0.0964388379154446
INFO:2022-12-05 01:14:50:running reward: -23788.00 at episode 2, frame count 7400, epsilon 0.0349387277474913
INFO:2022-12-05 01:14:59:running reward: -23788.00 at episode 2, frame count 7500, epsilon 0.012657915866672044
INFO:2022-12-05 01:15:10:running reward: -23788.00 at episode 2, frame count 7600, epsilon 0.004585823366142809
INFO:2022-12-05 01:15:19:running reward: -23788.00 at episode 2, frame count 7700, epsilon 0.0016613932472747926
INFO:2022-12-05 01:15:31:running reward: -23788.00 at episode 2, frame count 7800, epsilon 0.062413076493974616
INFO:2022-12-05 01:15:42:running reward: -23788.00 at episode 2, frame count 7900, epsilon 0.022611569515367445
INFO:2022-12-05 01:15:54:running reward: -23788.00 at episode 2, frame count 8000, epsilon 0.008191922344953686
INFO:2022-12-05 01:16:04:running reward: -23788.00 at episode 2, frame count 8100, epsilon 0.002967843150390038
INFO:2022-12-05 01:16:15:running reward: -23788.00 at episode 2, frame count 8200, epsilon 0.0010752168531898924
INFO:2022-12-05 01:16:26:running reward: -23788.00 at episode 2, frame count 8300, epsilon 0.04039235853150907
INFO:2022-12-05 01:16:36:running reward: -23788.00 at episode 2, frame count 8400, epsilon 0.014633706173946357
INFO:2022-12-05 01:16:47:running reward: -23788.00 at episode 2, frame count 8500, epsilon 0.005301630411562776
INFO:2022-12-05 01:16:59:running reward: -23788.00 at episode 2, frame count 8600, epsilon 0.0019207222481239302
INFO:2022-12-05 01:17:11:running reward: -23788.00 at episode 2, frame count 8700, epsilon 0.07215521357901018
INFO:2022-12-05 01:17:23:running reward: -23788.00 at episode 2, frame count 8800, epsilon 0.02614103837511491
INFO:2022-12-05 01:17:34:running reward: -23788.00 at episode 2, frame count 8900, epsilon 0.00947061000077224
INFO:2022-12-05 01:17:44:running reward: -23788.00 at episode 2, frame count 8990, epsilon 0.0023875515424585823
INFO:2022-12-05 01:17:44:time per episode 322.9019 seconds
INFO:2022-12-05 01:17:44:epsilon is 0.0023875515424585823, episode is 3
INFO:2022-12-05 01:17:45:running reward: -23641.00 at episode 3, frame count 9000, epsilon 0.0013859012403933883
INFO:2022-12-05 01:17:55:running reward: -23641.00 at episode 3, frame count 9100, epsilon 0.05206374846632575
